h3,m01,m02,m03,m04,m05,m06,m07,m08,m09,m10,m11,m12,confidence
873962043ffffff,0.00205,0.00343,0.0107,0.0653,0.135,0.151,0.474,0.563,0.681,0.475,0.184,0.00856,low
873962044ffffff,0.00234,0.00391,0.0122,0.0744,0.154,0.172,0.54,0.641,0.776,0.541,0.209,0.00975,low
873962045ffffff,0.00243,0.00406,0.0127,0.0774,0.16,0.179,0.561,0.667,0.806,0.563,0.218,0.0101,low
873962046ffffff,0.00269,0.00449,0.014,0.0856,0.177,0.198,0.62,0.737,0.891,0.622,0.241,0.0112,low
873962048ffffff,0.00212,0.00353,0.011,0.0674,0.139,0.152,0.478,0.569,0.696,0.49,0.189,0.00883,low
873962049ffffff,0.00196,0.00327,0.0102,0.0623,0.129,0.141,0.443,0.527,0.645,0.453,0.175,0.00817,low
87396204affffff,0.00166,0.00277,0.00866,0.0529,0.109,0.12,0.377,0.449,0.548,0.385,0.149,0.00692,low
87396204bffffff,0.0018600000000000001,0.0031,0.00968,0.059,0.122,0.133,0.42,0.499,0.611,0.43,0.166,0.00774,low
87396204cffffff,0.00183,0.00306,0.00956,0.0583,0.121,0.133,0.418,0.498,0.606,0.425,0.164,0.00764,low
87396204dffffff,0.00171,0.00286,0.00894,0.0545,0.113,0.123,0.388,0.461,0.565,0.397,0.153,0.00714,low
87396204effffff,0.00204,0.00341,0.0106,0.0649,0.134,0.149,0.47,0.558,0.676,0.472,0.183,0.0085,low
873962050ffffff,0.00192,0.00321,0.01,0.0612,0.127,0.143,0.45,0.535,0.643,0.446,0.172,0.00802,low
873962051ffffff,0.00196,0.00326,0.0102,0.0622,0.129,0.144,0.452,0.537,0.65,0.453,0.175,0.00815,low
873962052ffffff,0.00208,0.00347,0.0108,0.066,0.138,0.16,0.505,0.599,0.708,0.482,0.186,0.00865,low
873962053ffffff,0.00177,0.00295,0.00921,0.0562,0.117,0.134,0.422,0.501,0.597,0.41,0.158,0.00736,low
873962054ffffff,0.00275,0.0046,0.0144,0.0875,0.181,0.206,0.644,0.764,0.912,0.633,0.245,0.0115,low
873962055ffffff,0.0025,0.00417,0.013,0.0795,0.165,0.185,0.58,0.689,0.83,0.578,0.224,0.0104,low
873962056ffffff,0.00248,0.00414,0.0129,0.0788,0.164,0.186,0.583,0.693,0.829,0.573,0.222,0.0103,low
873962058ffffff,0.00179,0.00299,0.00934,0.057,0.119,0.135,0.427,0.506,0.605,0.416,0.16,0.00747,low
873962059ffffff,0.00174,0.0029,0.00906,0.0553,0.114,0.128,0.402,0.478,0.578,0.403,0.156,0.00724,low
87396205affffff,0.00187,0.00313,0.00976,0.0596,0.125,0.146,0.461,0.546,0.642,0.435,0.168,0.0078,low
87396205bffffff,0.00185,0.00309,0.00965,0.0589,0.123,0.144,0.455,0.539,0.635,0.43,0.166,0.00771,low
87396205cffffff,0.00193,0.00322,0.0101,0.0614,0.127,0.142,0.446,0.53,0.641,0.447,0.173,0.00804,low
87396205dffffff,0.00204,0.00341,0.0107,0.065,0.135,0.15,0.472,0.56,0.678,0.473,0.183,0.00852,low
87396205effffff,0.0019,0.00317,0.00989,0.0603,0.126,0.144,0.453,0.537,0.641,0.44,0.17,0.0079,low
873962060ffffff,0.00244,0.00408,0.0127,0.0778,0.161,0.18,0.564,0.671,0.808,0.565,0.219,0.0102,low
873962061ffffff,0.00182,0.00304,0.0095,0.0579,0.12,0.134,0.421,0.501,0.604,0.422,0.163,0.00759,low
873962062ffffff,0.00221,0.00369,0.0115,0.0702,0.145,0.163,0.511,0.608,0.733,0.511,0.198,0.0092,low
873962063ffffff,0.00211,0.00352,0.011,0.0671,0.139,0.155,0.486,0.579,0.698,0.488,0.189,0.00879,low
873962064ffffff,0.00201,0.00336,0.0105,0.064,0.133,0.149,0.467,0.556,0.668,0.466,0.18,0.00839,low
873962065ffffff,0.00226,0.00377,0.0118,0.0718,0.149,0.166,0.521,0.62,0.746,0.522,0.202,0.00941,low
873962066ffffff,0.00207,0.00346,0.0108,0.066,0.137,0.155,0.485,0.576,0.689,0.48,0.186,0.00865,low
873962068ffffff,0.00181,0.00302,0.00943,0.0575,0.119,0.133,0.416,0.495,0.598,0.418,0.162,0.00754,low
873962069ffffff,0.00198,0.0033,0.0103,0.0629,0.13,0.144,0.452,0.538,0.652,0.457,0.177,0.00824,low
87396206affffff,0.00206,0.00343,0.0107,0.0654,0.135,0.151,0.475,0.564,0.683,0.476,0.184,0.00858,low
87396206bffffff,0.00181,0.00302,0.00944,0.0576,0.119,0.13,0.409,0.487,0.596,0.419,0.162,0.00754,low
87396206cffffff,0.00164,0.00273,0.00854,0.0521,0.108,0.121,0.378,0.451,0.543,0.379,0.147,0.00683,low
87396206dffffff,0.00183,0.00306,0.00957,0.0584,0.121,0.135,0.422,0.503,0.607,0.425,0.164,0.00765,low
87396206effffff,0.0024,0.00401,0.0125,0.0765,0.158,0.177,0.554,0.659,0.795,0.556,0.215,0.01,low
873962070ffffff,0.00248,0.00414,0.0129,0.0789,0.164,0.186,0.584,0.693,0.829,0.574,0.222,0.0103,low
873962071ffffff,0.00318,0.00531,0.0166,0.101,0.21,0.237,0.741,0.88,1.06,0.734,0.284,0.0133,low
873962072ffffff,0.00245,0.00409,0.0128,0.0779,0.162,0.183,0.576,0.685,0.819,0.566,0.219,0.0102,low
873962073ffffff,0.00276,0.00461,0.0144,0.0878,0.182,0.206,0.648,0.77,0.922,0.638,0.247,0.0115,low
873962074ffffff,0.00285,0.00476,0.0149,0.0907,0.188,0.214,0.67,0.796,0.952,0.659,0.255,0.0119,low
873962075ffffff,0.00244,0.00408,0.0127,0.0777,0.161,0.183,0.575,0.683,0.816,0.565,0.218,0.0102,low
873962076ffffff,0.00289,0.00483,0.0151,0.092,0.191,0.217,0.68,0.808,0.966,0.668,0.259,0.0121,low
873962080ffffff,0.00702,0.0117,0.0366,0.223,0.464,0.525,1.67,1.95,2.35,1.61,0.625,0.0293,low
873962081ffffff,0.00593,0.0099,0.0309,0.188,0.392,0.446,1.41,1.66,1.99,1.36,0.528,0.0247,low
873962082ffffff,0.00617,0.0103,0.0322,0.196,0.41,0.47,1.51,1.76,2.1,1.42,0.55,0.0257,low
873962083ffffff,0.00589,0.00983,0.0307,0.187,0.39,0.448,1.44,1.68,2,1.35,0.524,0.0245,low
873962084ffffff,0.00467,0.0078,0.0244,0.148,0.307,0.343,1.08,1.27,1.54,1.07,0.417,0.0195,low
873962085ffffff,0.00609,0.0102,0.0317,0.193,0.401,0.447,1.41,1.66,2.01,1.4,0.542,0.0254,low
873962086ffffff,0.00425,0.0071,0.0222,0.135,0.282,0.32,1.02,1.2,1.44,0.981,0.379,0.0177,low
873962088ffffff,0.00555,0.00927,0.029,0.176,0.368,0.422,1.35,1.58,1.89,1.28,0.494,0.0231,low
873962089ffffff,0.00379,0.00632,0.0197,0.12,0.251,0.288,0.926,1.09,1.3,0.875,0.338,0.0158,low
87396208affffff,0.00577,0.00964,0.0301,0.184,0.383,0.438,1.41,1.65,1.96,1.33,0.514,0.0241,low
87396208bffffff,0.00654,0.0109,0.0341,0.208,0.432,0.495,1.58,1.85,2.2,1.49,0.579,0.0272,low
87396208cffffff,0.00498,0.00831,0.026,0.158,0.329,0.376,1.19,1.4,1.67,1.15,0.444,0.0207,low
87396208dffffff,0.00433,0.00723,0.0226,0.137,0.284,0.324,1.01,1.19,1.41,0.977,0.382,0.018,low
87396208effffff,0.00636,0.0106,0.0332,0.202,0.419,0.48,1.52,1.77,2.1,1.44,0.56,0.0265,low
873962090ffffff,0.00711,0.0119,0.0371,0.225,0.467,0.535,1.68,1.95,2.32,1.59,0.622,0.0296,low
873962091ffffff,0.00488,0.00815,0.0255,0.155,0.324,0.372,1.19,1.4,1.67,1.13,0.435,0.0203,low
873962092ffffff,0.00666,0.0111,0.0348,0.212,0.442,0.507,1.62,1.9,2.26,1.53,0.592,0.0278,low
873962093ffffff,0.00685,0.0114,0.0357,0.218,0.454,0.521,1.67,1.95,2.33,1.57,0.609,0.0286,low
873962094ffffff,0.00431,0.0072,0.0225,0.137,0.286,0.329,1.06,1.24,1.48,0.996,0.385,0.018,low
873962095ffffff,0.00384,0.0064,0.02,0.122,0.255,0.293,0.942,1.1,1.32,0.888,0.343,0.016,low
873962096ffffff,0.00645,0.0108,0.0336,0.205,0.428,0.493,1.58,1.84,2.2,1.48,0.573,0.0269,low
873962098ffffff,0.00606,0.0101,0.0316,0.192,0.401,0.46,1.47,1.72,2.06,1.39,0.539,0.0252,low
873962099ffffff,0.00599,0.01,0.0313,0.19,0.397,0.455,1.46,1.71,2.03,1.38,0.533,0.025,low
87396209affffff,0.00532,0.00888,0.0277,0.169,0.353,0.405,1.3,1.52,1.82,1.23,0.474,0.0222,low
87396209bffffff,0.00706,0.0118,0.0368,0.224,0.467,0.535,1.71,2,2.38,1.61,0.627,0.0294,low
87396209cffffff,0.00702,0.0117,0.0366,0.223,0.466,0.534,1.71,2,2.38,1.61,0.624,0.0293,low
87396209dffffff,0.00843,0.0141,0.044,0.268,0.558,0.639,2.04,2.39,2.85,1.93,0.749,0.0351,low
87396209effffff,0.00636,0.0106,0.0332,0.202,0.422,0.484,1.55,1.81,2.17,1.46,0.566,0.0265,medium
8739620a0ffffff,0.00324,0.00541,0.0169,0.103,0.214,0.238,0.754,0.887,1.08,0.748,0.29,0.0135,low
8739620a1ffffff,0.00313,0.00522,0.0163,0.0995,0.206,0.23,0.728,0.856,1.04,0.722,0.279,0.013,low
8739620a2ffffff,0.0029,0.00484,0.0151,0.0922,0.191,0.213,0.676,0.795,0.965,0.67,0.259,0.0121,low
8739620a3ffffff,0.00457,0.00762,0.0238,0.145,0.301,0.335,1.06,1.24,1.51,1.05,0.407,0.019,low
8739620a4ffffff,0.00296,0.00493,0.0154,0.094,0.195,0.217,0.688,0.809,0.982,0.682,0.264,0.0123,low
8739620a5ffffff,0.00279,0.00465,0.0145,0.0886,0.184,0.205,0.649,0.763,0.927,0.643,0.249,0.0116,low
8739620a6ffffff,0.00265,0.00442,0.0138,0.0842,0.174,0.195,0.616,0.725,0.88,0.611,0.237,0.011,low
8739620a8ffffff,0.00451,0.00753,0.0235,0.143,0.298,0.34,1.07,1.26,1.51,1.04,0.403,0.0188,low
8739620a9ffffff,0.00292,0.00487,0.0152,0.0928,0.193,0.22,0.698,0.822,0.984,0.675,0.261,0.0122,low
8739620aaffffff,0.00452,0.00755,0.0236,0.144,0.299,0.341,1.08,1.27,1.51,1.04,0.403,0.0189,low
8739620abffffff,0.00296,0.00495,0.0155,0.0942,0.196,0.223,0.708,0.834,0.999,0.685,0.265,0.0124,low
8739620acffffff,0.00462,0.00771,0.0241,0.147,0.305,0.347,1.09,1.29,1.54,1.06,0.412,0.0193,low
8739620adffffff,0.00355,0.00593,0.0185,0.113,0.235,0.268,0.847,0.998,1.19,0.82,0.317,0.0148,low
8739620aeffffff,0.00437,0.0073,0.0228,0.139,0.288,0.325,1.03,1.21,1.46,1.01,0.39,0.0182,low
8739620b0ffffff,0.00393,0.00657,0.0205,0.125,0.259,0.288,0.911,1.07,1.3,0.906,0.351,0.0164,low
8739620b1ffffff,0.00377,0.0063,0.0197,0.12,0.248,0.276,0.87,1.02,1.24,0.863,0.335,0.0157,low
8739620b2ffffff,0.00477,0.00797,0.0249,0.152,0.318,0.366,1.17,1.37,1.64,1.1,0.425,0.0199,low
8739620b3ffffff,0.00382,0.00638,0.0199,0.122,0.254,0.29,0.929,1.09,1.3,0.884,0.341,0.0159,low
8739620b4ffffff,0.00297,0.00495,0.0155,0.0943,0.195,0.216,0.684,0.804,0.982,0.684,0.265,0.0124,low
8739620b5ffffff,0.00262,0.00438,0.0137,0.0834,0.173,0.193,0.612,0.72,0.874,0.607,0.235,0.0109,low
8739620b6ffffff,0.00476,0.00795,0.0248,0.151,0.313,0.347,1.1,1.29,1.57,1.09,0.424,0.0198,low
8739620c0ffffff,0.00236,0.00395,0.0123,0.0752,0.157,0.184,0.582,0.69,0.811,0.548,0.211,0.00985,low
8739620c1ffffff,0.00244,0.00407,0.0127,0.0776,0.162,0.19,0.6,0.711,0.837,0.566,0.218,0.0102,low
8739620c2ffffff,0.00288,0.0048,0.015,0.0915,0.191,0.224,0.714,0.843,0.995,0.667,0.257,0.012,low
8739620c3ffffff,0.00307,0.00513,0.016,0.0977,0.204,0.239,0.762,0.899,1.06,0.712,0.275,0.0128,low
8739620c4ffffff,0.0024,0.004,0.0125,0.0763,0.159,0.187,0.59,0.699,0.822,0.556,0.214,0.00999,low
8739620c5ffffff,0.00222,0.0037,0.0116,0.0706,0.148,0.173,0.547,0.648,0.762,0.515,0.199,0.00925,low
8739620c6ffffff,0.00234,0.00391,0.0122,0.0745,0.156,0.183,0.577,0.684,0.804,0.543,0.209,0.00976,low
8739620c8ffffff,0.00221,0.00369,0.0115,0.0703,0.147,0.173,0.55,0.65,0.765,0.513,0.198,0.0092,low
8739620c9ffffff,0.00232,0.00388,0.0121,0.074,0.155,0.182,0.576,0.681,0.801,0.54,0.208,0.00969,low
8739620caffffff,0.00233,0.00389,0.0121,0.0742,0.156,0.186,0.6,0.708,0.83,0.543,0.208,0.00971,low
8739620cbffffff,0.00239,0.00398,0.0124,0.076,0.16,0.19,0.615,0.725,0.85,0.557,0.214,0.00995,low
8739620ccffffff,0.00245,0.00409,0.0128,0.078,0.163,0.191,0.602,0.713,0.839,0.568,0.219,0.0102,low
8739620cdffffff,0.00229,0.00383,0.012,0.073,0.153,0.179,0.564,0.668,0.786,0.532,0.205,0.00956,low
8739620ceffffff,0.00229,0.00383,0.012,0.0731,0.153,0.181,0.576,0.681,0.8,0.534,0.205,0.00957,low
8739620d0ffffff,0.00326,0.00545,0.017,0.104,0.217,0.253,0.816,0.959,1.13,0.757,0.292,0.0136,low
8739620d1ffffff,0.0035,0.00585,0.0183,0.111,0.233,0.271,0.874,1.03,1.22,0.811,0.313,0.0146,low
8739620d2ffffff,0.00379,0.00634,0.0198,0.121,0.253,0.294,0.947,1.11,1.32,0.879,0.339,0.0158,low
8739620d3ffffff,0.00419,0.007,0.0219,0.133,0.279,0.325,1.04,1.23,1.45,0.97,0.374,0.0175,low
8739620d4ffffff,0.00304,0.00508,0.0159,0.0968,0.203,0.236,0.757,0.891,1.06,0.706,0.272,0.0127,low
8739620d5ffffff,0.00276,0.0046,0.0144,0.0877,0.184,0.214,0.687,0.809,0.956,0.64,0.247,0.0115,low
8739620d6ffffff,0.00326,0.00545,0.017,0.104,0.217,0.251,0.808,0.948,1.13,0.757,0.292,0.0136,low
8739620d8ffffff,0.00306,0.00512,0.016,0.0976,0.205,0.239,0.772,0.908,1.07,0.712,0.274,0.0128,low
8739620d9ffffff,0.0026,0.00435,0.0136,0.0829,0.175,0.208,0.67,0.79,0.926,0.607,0.233,0.0108,low
8739620daffffff,0.00346,0.00577,0.018,0.11,0.23,0.268,0.865,1.02,1.2,0.801,0.309,0.0144,low
8739620dbffffff,0.00298,0.00498,0.0156,0.095,0.2,0.238,0.767,0.904,1.06,0.694,0.267,0.0124,low
8739620dcffffff,0.00297,0.00496,0.0155,0.0945,0.198,0.23,0.743,0.873,1.03,0.689,0.266,0.0124,low
8739620ddffffff,0.00253,0.00423,0.0132,0.0807,0.17,0.201,0.648,0.764,0.898,0.59,0.227,0.0106,low
8739620deffffff,0.00517,0.00864,0.027,0.165,0.344,0.4,1.29,1.51,1.78,1.19,0.461,0.0216,low
8739620e0ffffff,0.00231,0.00385,0.012,0.0734,0.154,0.18,0.568,0.673,0.792,0.535,0.206,0.00962,low
8739620e1ffffff,0.00218,0.00364,0.0114,0.0695,0.145,0.17,0.538,0.637,0.749,0.507,0.195,0.0091,low
8739620e2ffffff,0.00238,0.00397,0.0124,0.0756,0.158,0.185,0.585,0.694,0.816,0.551,0.213,0.00991,low
8739620e3ffffff,0.00235,0.00393,0.0123,0.0748,0.156,0.183,0.579,0.686,0.807,0.545,0.21,0.0098,low
8739620e4ffffff,0.00249,0.00416,0.013,0.0793,0.166,0.194,0.612,0.725,0.853,0.577,0.223,0.0104,low
8739620e5ffffff,0.00203,0.00339,0.0106,0.0647,0.135,0.158,0.498,0.591,0.697,0.472,0.182,0.00848,low
8739620e6ffffff,0.0023,0.00383,0.012,0.0731,0.153,0.179,0.566,0.671,0.789,0.533,0.205,0.00957,low
8739620e8ffffff,0.00241,0.00403,0.0126,0.0768,0.161,0.188,0.593,0.702,0.826,0.56,0.216,0.0101,low
8739620e9ffffff,0.00206,0.00344,0.0107,0.0655,0.137,0.16,0.506,0.6,0.706,0.478,0.184,0.00859,low
8739620eaffffff,0.00219,0.00365,0.0114,0.0696,0.145,0.17,0.538,0.637,0.75,0.507,0.196,0.00912,low
8739620ebffffff,0.00246,0.0041,0.0128,0.0782,0.163,0.191,0.603,0.715,0.841,0.57,0.22,0.0102,low
8739620ecffffff,0.00201,0.00335,0.0105,0.0639,0.134,0.157,0.494,0.586,0.689,0.466,0.18,0.00837,low
8739620edffffff,0.00214,0.00358,0.0112,0.0682,0.143,0.167,0.527,0.624,0.734,0.497,0.192,0.00894,low
8739620eeffffff,0.00227,0.00379,0.0118,0.0722,0.151,0.177,0.558,0.662,0.778,0.526,0.203,0.00946,low
8739620f0ffffff,0.00263,0.00439,0.0137,0.0836,0.174,0.202,0.639,0.756,0.895,0.609,0.235,0.011,low
8739620f1ffffff,0.00234,0.00391,0.0122,0.0746,0.156,0.183,0.578,0.685,0.805,0.544,0.21,0.00977,low
8739620f2ffffff,0.00255,0.00425,0.0133,0.081,0.169,0.193,0.613,0.723,0.863,0.59,0.228,0.0106,low
8739620f3ffffff,0.00337,0.00562,0.0176,0.107,0.222,0.26,0.806,0.951,1.11,0.761,0.297,0.014,low
8739620f4ffffff,0.00231,0.00386,0.0121,0.0736,0.153,0.175,0.554,0.653,0.782,0.536,0.207,0.00964,low
8739620f5ffffff,0.00247,0.00413,0.0129,0.0787,0.164,0.192,0.606,0.717,0.846,0.573,0.221,0.0103,low
8739620f6ffffff,0.00266,0.00445,0.0139,0.0847,0.176,0.201,0.637,0.751,0.899,0.617,0.238,0.0111,low
873962100ffffff,0.00174,0.00291,0.0091,0.0555,0.115,0.128,0.4,0.477,0.577,0.404,0.156,0.00727,low
873962101ffffff,0.00157,0.00262,0.00819,0.05,0.103,0.115,0.36,0.43,0.52,0.364,0.141,0.00655,low
873962102ffffff,0.00167,0.00278,0.00869,0.053,0.11,0.122,0.382,0.456,0.552,0.386,0.149,0.00695,low
873962103ffffff,0.00188,0.00314,0.00981,0.0599,0.124,0.138,0.431,0.514,0.622,0.435,0.168,0.00785,low
873962104ffffff,0.00198,0.00331,0.0104,0.0631,0.131,0.145,0.454,0.542,0.656,0.459,0.178,0.00827,low
873962105ffffff,0.00178,0.00296,0.00926,0.0565,0.117,0.13,0.407,0.485,0.588,0.411,0.159,0.0074,low
873962106ffffff,0.00165,0.00276,0.00861,0.0525,0.109,0.121,0.378,0.451,0.547,0.382,0.148,0.00688,low
873962108ffffff,0.00191,0.00319,0.00998,0.0609,0.126,0.141,0.442,0.526,0.634,0.443,0.171,0.00798,low
873962109ffffff,0.00206,0.00345,0.0108,0.0657,0.136,0.153,0.478,0.569,0.685,0.478,0.185,0.00861,low
87396210affffff,0.00192,0.00321,0.01,0.0611,0.126,0.141,0.441,0.526,0.635,0.444,0.172,0.008,low
87396210bffffff,0.00201,0.00336,0.0105,0.064,0.133,0.149,0.466,0.555,0.668,0.466,0.18,0.00839,low
87396210cffffff,0.0017,0.00283,0.00884,0.054,0.112,0.124,0.389,0.464,0.561,0.393,0.152,0.00707,low
87396210dffffff,0.00233,0.00388,0.0121,0.074,0.153,0.172,0.538,0.641,0.771,0.538,0.208,0.0097,low
87396210effffff,0.00183,0.00305,0.00954,0.0582,0.12,0.134,0.419,0.5,0.605,0.423,0.164,0.00763,low
873962110ffffff,0.00147,0.00246,0.00768,0.0468,0.0968,0.107,0.337,0.402,0.488,0.341,0.132,0.00614,low
873962111ffffff,0.00211,0.00352,0.011,0.067,0.138,0.154,0.482,0.575,0.696,0.487,0.188,0.00878,low
873962112ffffff,0.00171,0.00285,0.0089,0.0543,0.112,0.124,0.389,0.464,0.564,0.395,0.153,0.00711,low
873962113ffffff,0.00176,0.00294,0.00917,0.056,0.116,0.128,0.401,0.479,0.581,0.407,0.157,0.00733,low
873962114ffffff,0.00163,0.00272,0.00851,0.0519,0.107,0.119,0.372,0.444,0.538,0.377,0.146,0.0068,low
873962115ffffff,0.00226,0.00377,0.0118,0.0717,0.148,0.164,0.514,0.614,0.744,0.521,0.202,0.0094,low
873962116ffffff,0.00174,0.0029,0.00907,0.0554,0.114,0.127,0.398,0.475,0.576,0.403,0.156,0.00725,low
873962118ffffff,0.00194,0.00324,0.0101,0.0618,0.128,0.142,0.445,0.531,0.642,0.449,0.174,0.0081,low
873962119ffffff,0.00178,0.00297,0.00927,0.0566,0.117,0.13,0.407,0.486,0.588,0.412,0.159,0.00741,low
87396211affffff,0.00202,0.00337,0.0105,0.0643,0.133,0.146,0.46,0.546,0.667,0.468,0.181,0.00843,low
87396211bffffff,0.00211,0.00353,0.011,0.0672,0.139,0.152,0.48,0.57,0.696,0.488,0.189,0.0088,low
87396211cffffff,0.00228,0.00381,0.0119,0.0726,0.15,0.167,0.522,0.623,0.754,0.528,0.204,0.00951,low
87396211dffffff,0.0017,0.00283,0.00885,0.054,0.112,0.124,0.389,0.464,0.562,0.393,0.152,0.00708,low
87396211effffff,0.00179,0.00299,0.00934,0.057,0.118,0.131,0.41,0.489,0.593,0.415,0.16,0.00746,low
873962120ffffff,0.00178,0.00298,0.0093,0.0567,0.118,0.135,0.418,0.503,0.593,0.413,0.16,0.00743,low
873962121ffffff,0.00182,0.00304,0.00951,0.058,0.12,0.138,0.428,0.514,0.607,0.422,0.163,0.0076,low
873962122ffffff,0.00172,0.00288,0.00899,0.0548,0.114,0.128,0.4,0.479,0.572,0.399,0.154,0.00719,low
873962123ffffff,0.00143,0.00238,0.0074400000000000004,0.0454,0.0941,0.107,0.332,0.398,0.474,0.331,0.128,0.00595,low
873962124ffffff,0.00145,0.00241,0.00754,0.046,0.0954,0.109,0.339,0.408,0.482,0.335,0.13,0.00603,low
873962125ffffff,0.00161,0.00269,0.00841,0.0513,0.106,0.122,0.379,0.455,0.537,0.374,0.144,0.00673,low
873962126ffffff,0.00148,0.00247,0.00771,0.0471,0.0976,0.112,0.347,0.418,0.493,0.343,0.132,0.00617,low
873962128ffffff,0.00162,0.00271,0.00846,0.0516,0.107,0.123,0.381,0.457,0.54,0.376,0.145,0.00676,low
873962129ffffff,0.00151,0.00252,0.00788,0.0481,0.0998,0.115,0.358,0.429,0.505,0.35,0.135,0.0063,low
87396212affffff,0.002,0.00334,0.0104,0.0636,0.131,0.146,0.458,0.547,0.661,0.463,0.179,0.00833,low
87396212bffffff,0.00192,0.00321,0.01,0.0611,0.126,0.141,0.442,0.528,0.636,0.444,0.172,0.00801,low
87396212cffffff,0.00181,0.00302,0.00943,0.0575,0.119,0.137,0.424,0.509,0.601,0.419,0.162,0.00754,low
87396212dffffff,0.00225,0.00376,0.0117,0.0716,0.148,0.17,0.528,0.634,0.748,0.521,0.202,0.00939,low
87396212effffff,0.00155,0.0026,0.00811,0.0495,0.103,0.117,0.364,0.437,0.517,0.36,0.139,0.00648,low
873962130ffffff,0.00188,0.00313,0.00979,0.0597,0.123,0.137,0.429,0.512,0.621,0.435,0.168,0.00782,low
873962131ffffff,0.00194,0.00323,0.0101,0.0616,0.127,0.141,0.442,0.528,0.64,0.448,0.173,0.00807,low
873962132ffffff,0.00202,0.00338,0.0106,0.0643,0.133,0.147,0.459,0.548,0.663,0.465,0.181,0.00844,low
873962133ffffff,0.00216,0.00361,0.0113,0.0687,0.142,0.157,0.493,0.588,0.713,0.499,0.193,0.00901,low
873962134ffffff,0.00148,0.00247,0.0077,0.047,0.0973,0.11,0.342,0.41,0.491,0.342,0.132,0.00616,low
873962135ffffff,0.00142,0.00237,0.00741,0.0452,0.0936,0.106,0.329,0.395,0.472,0.329,0.127,0.00592,low
873962136ffffff,0.00162,0.0027,0.00844,0.0515,0.106,0.118,0.37,0.442,0.536,0.375,0.145,0.00675,low
873962143ffffff,0.00271,0.00453,0.0142,0.0864,0.179,0.203,0.636,0.755,0.902,0.627,0.243,0.0113,low
87396214affffff,0.00184,0.00307,0.00959,0.0585,0.121,0.138,0.432,0.513,0.613,0.426,0.165,0.00767,low
87396214bffffff,0.00243,0.00406,0.0127,0.0773,0.16,0.179,0.56,0.667,0.803,0.562,0.217,0.0101,low
87396214effffff,0.00255,0.00425,0.0133,0.081,0.168,0.19,0.597,0.708,0.846,0.588,0.228,0.0106,low
873962150ffffff,0.00191,0.00318,0.00994,0.0607,0.126,0.141,0.442,0.526,0.633,0.441,0.171,0.00795,low
873962151ffffff,0.00225,0.00376,0.0118,0.0717,0.149,0.168,0.526,0.625,0.748,0.521,0.202,0.0094,low
873962152ffffff,0.00242,0.00404,0.0126,0.077,0.159,0.179,0.56,0.667,0.802,0.56,0.217,0.0101,low
873962153ffffff,0.00307,0.00512,0.016,0.0975,0.202,0.227,0.709,0.843,1.01,0.707,0.274,0.0128,low
873962154ffffff,0.00221,0.0037,0.0116,0.0705,0.146,0.164,0.513,0.611,0.734,0.512,0.198,0.00923,low
873962155ffffff,0.002,0.00333,0.0104,0.0635,0.131,0.148,0.463,0.551,0.662,0.462,0.179,0.00832,low
873962156ffffff,0.00249,0.00416,0.013,0.0793,0.164,0.184,0.577,0.686,0.825,0.576,0.223,0.0104,low
873962158ffffff,0.00243,0.00406,0.0127,0.0774,0.161,0.182,0.571,0.677,0.809,0.563,0.218,0.0101,low
873962159ffffff,0.00203,0.00339,0.0106,0.0646,0.134,0.152,0.477,0.567,0.677,0.47,0.182,0.00847,low
87396215affffff,0.00285,0.00475,0.0148,0.0906,0.188,0.213,0.667,0.792,0.945,0.658,0.255,0.0119,low
87396215bffffff,0.00243,0.00406,0.0127,0.0773,0.16,0.182,0.57,0.677,0.808,0.562,0.217,0.0101,low
87396215cffffff,0.00191,0.00319,0.00996,0.0607,0.126,0.143,0.448,0.532,0.635,0.442,0.171,0.00796,low
87396215dffffff,0.00201,0.00336,0.0105,0.064,0.133,0.151,0.472,0.561,0.67,0.466,0.18,0.00839,low
87396215effffff,0.00218,0.00365,0.0114,0.0695,0.144,0.163,0.512,0.608,0.726,0.505,0.195,0.0091,low
873962170ffffff,0.00174,0.00291,0.00908,0.0554,0.115,0.13,0.408,0.487,0.58,0.403,0.156,0.00726,low
873962171ffffff,0.00241,0.00402,0.0126,0.0766,0.159,0.181,0.564,0.673,0.8,0.557,0.216,0.01,low
873962172ffffff,0.00206,0.00345,0.0108,0.0657,0.136,0.153,0.478,0.569,0.685,0.478,0.185,0.00861,low
873962173ffffff,0.00205,0.00342,0.0107,0.0651,0.135,0.151,0.474,0.565,0.679,0.474,0.183,0.00853,low
873962174ffffff,0.00214,0.00357,0.0111,0.068,0.141,0.163,0.508,0.608,0.713,0.494,0.191,0.0089,low
873962175ffffff,0.00234,0.00391,0.0122,0.0745,0.155,0.179,0.557,0.666,0.781,0.542,0.21,0.00976,low
873962176ffffff,0.00176,0.00295,0.0092,0.0562,0.116,0.131,0.411,0.49,0.587,0.409,0.158,0.00736,low
873962180ffffff,0.00152,0.00253,0.00791,0.0483,0.0997,0.108,0.342,0.407,0.5,0.351,0.136,0.00633,low
873962181ffffff,0.00189,0.00315,0.00985,0.0601,0.124,0.135,0.425,0.506,0.622,0.437,0.169,0.00788,low
873962182ffffff,0.00192,0.00321,0.01,0.0611,0.126,0.138,0.436,0.517,0.634,0.445,0.172,0.00801,low
